社格,名前,読み,住所,電話番号,画像,詳細ページのリンク
式内大社・大隅国一宮・官幣大社・別表神社,鹿児島神宮,かごしまじんぐう,鹿児島県霧島市隼人町内2496,0995-42-0020,https://shrine.mobi/picture_thumb/208_1.jpg,https://shrine.mobi/area/kyushu/kagoshima/208/
式内小社、薩摩国一宮、旧国幣小社、別表神社,枚聞神社,ひらききじんじゃ,鹿児島県指宿市開聞十町1366,0996-22-4722,https://shrine.mobi/picture_thumb/844_10.jpg,https://shrine.mobi/area/kyushu/kagoshima/844/
旧内務大臣指定護国神社・別表神社,鹿児島県護国神社,かごしまけんごごくじんじゃ,鹿児島県鹿児島市草牟田二丁目60番7号,099-226-7030,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/390/
式内小社・旧県社,宮浦宮,みやうらぐう,鹿児島県霧島市福山町福山2437,0995-56-2026,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/925/
旧県社,豊玉姫神社(南九州市),とよたまひめじんじゃ,鹿児島県南九州市知覧町郡16510,0993-83-4335,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/741/
旧郷社,春日神社 (鹿児島市),かすがじんじゃ,鹿児島県鹿児島市春日町4-38,099-223-0061（鹿児島県神社庁）,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/230/
旧郷社,菅原神社 (薩摩川内市東郷町藤川),すがわらじんじゃ,鹿児島県薩摩川内市東郷町藤川1267,0996-42-0753,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/707/
旧郷社,熊野神社 (出水市),くまのじんじゃ,鹿児島県出水市野田町下名5930,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/322/
旧郷社,剱神社,つるぎじんじゃ,鹿児島県霧島市国分敷根99,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/617/
-,鎮守神社（鹿児島市喜入町）,ちんじゅじんじゃ,鹿児島県鹿児島市喜入町10100-2,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8214/
-,羽出島神社,はでしまじんじゃ,鹿児島県鹿児島市喜入生見町396,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8217/
旧郷社,春日神社 (鹿児島市),かすがじんじゃ,鹿児島県鹿児島市春日町4-38,099-223-0061（鹿児島県神社庁）,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/230/
-,羽出島神社,はでしまじんじゃ,鹿児島県鹿児島市喜入生見町396,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8218/
旧郷社,猿田王子神社,さるたおうじじんじゃ,鹿児島県鹿児島市東佐多町3101-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8219/
旧郷社,菅原神社 (薩摩川内市東郷町藤川),すがわらじんじゃ,鹿児島県薩摩川内市東郷町藤川1267,0996-42-0753,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/707/
-,鎮守神社（鹿児島市直木町）,ちんじゅじんじゃ,鹿児島県鹿児島市直木町3806,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8206/
旧村社,近都宮神社,ちかつみやじんじゃ,鹿児島県鹿児島市油須木町1152,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8207/
-,金峯神社（鹿児島市西佐多町）,きんぽうじんじゃ,鹿児島県鹿児島市西佐多町4635,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8208/
旧郷社,剱神社,つるぎじんじゃ,鹿児島県霧島市国分敷根99,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/617/
-,金峯神社（鹿児島市西佐多町）,きんぽうじんじゃ,鹿児島県鹿児島市西佐多町4635,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8209/
-,神明神社（鹿児島市宇宿）,しんめいじんじゃ,鹿児島県鹿児島市宇宿3-27-3,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8140/
-,南方神社,みなみかたじんじゃ,鹿児島県鹿児島市上福元町6300,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8141/
-,彦山神社,ひこさんじんじゃ,鹿児島県鹿児島市春山町456,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8143/
旧郷社,平松神社,ひらまつじんじゃ,鹿児島県鹿児島市吉野町10691,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8144/
旧村社,建部神社（鹿児島市）,たけべじんじゃ,鹿児島県鹿児島市武3-26-5,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8123/
旧県社,谷山神社,たにやまじんじゃ,鹿児島県鹿児島市下福元町3786-3,099-268-8344,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8125/
旧村社,白山姫神社,しらやまひめじんじゃ,鹿児島県鹿児島市吉野町1379,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/kagoshima/8126/
