社格,名前,読み,住所,電話番号,画像,詳細ページのリンク
-,松の森天満宮,まつのもりてんまんぐう,長崎県長崎市上西山町4-3,095-822-7079,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8369/
-,西山神社,にしやまじんじゃ,長崎県長崎市西山本町8-18,095-823-1378,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8370/
-,出雲大社 長崎分院,いずもたいしゃ　ながさきぶんいん,長崎県長崎市桜町8-5,095-822-9278,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8374/
旧村社,香取神社（長崎市琴海町）,かとりじんじゃ,長崎県長崎市琴海町西海郷1906,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8375/
-,烏岩神社,からすいわじんじゃ,長崎県長崎市平戸小屋町49,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8377/
旧県社,山王神社 (長崎市),さんのうじんじゃ,長崎県長崎市坂本2丁目6-56,095-844-1415,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/449/
-,木鉢神社,きばちじんじゃ,長崎県長崎市木鉢町557,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8378/
内務大臣指定護国神社・別表神社,長崎縣護國神社,ながさきけんごこくじんじゃ,長崎県長崎市城栄町41-67,095-844-3221,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/385/
-,宮地嶽神社,,長崎県長崎市八幡町8-6,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8420/
-,八幡神社（長崎市中川町）,はちまんじんじゃ,長崎県長崎市中川町40,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8419/
-,竃神社（長崎市宮摺町）,かまどじんじゃ,長崎県長崎市宮摺町558,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8441/
-,諏訪神社（長崎市相生町）,すわじんじゃ,長崎県長崎市相生町10-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8442/
-,塩釜神社（長崎市琴海形上町）,しおがまじんじゃ,長崎県長崎市琴海形上町1260-ロ,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8443/
-,伊都藝島神社（長崎市茂木町）,いつくしまじんじゃ,長崎県長崎市茂木町75-4,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8444/
-,新田神社（長崎市大籠町）,にったじんじゃ,長崎県長崎市大籠町1036,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8445/
-,琴平神社（長崎市神浦扇山町）,ことひらじんじゃ,長崎県長崎市神浦扇山町1155,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8446/
-,塩竃神社（長崎市千々町）,しおがまじんじゃ,長崎県長崎市千々町668,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8447/
-,小ヶ倉神社,こがくらじんじゃ,長崎県長崎市小ケ倉町2-21,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8451/
-,天満神社（長崎市永田町）,てんまんじんじゃ,長崎県長崎市永田町3237,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8452/
-,三社大神社,,長崎県長崎市長浦町840,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8425/
-,熱田神社（長崎市畝刈町）,あつたじんじゃ,長崎県長崎市畝刈町298,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8389/
-,櫻谷神社,,長崎県長崎市立神町189,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8394/
-,八幡神社（長崎市琴海尾戸町）,はちまんじんじゃ,長崎県長崎市琴海尾戸町1933,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8416/
