社格,名前,読み,住所,電話番号,画像,詳細ページのリンク
-,救世神社,くせじんじゃ,佐賀県鹿島市三河内甲3022,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1045/
-,西宮神社,にしのみやじんじゃ,佐賀県小城市牛津町柿樋瀬1081,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1074/
県社,志賀神社,しがじんじゃ,佐賀県佐賀市川副町早津江津400,0952-45-0968,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1026/
-,諏訪神社 (唐津市),すわじんじゃ,佐賀県唐津市浜玉町浜崎1181,0955-56-6241,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/546/
-,男女神社,なんにょじんじゃ,佐賀県佐賀市大和町大字久留間5109,0952-62-1951,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1027/
-,大江神大神宮,おおえかみだいじんぐう,佐賀県杵島郡江北町山口5034-2,0952-86-2291,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1047/
-,江見八幡神社,えみはちまんじんじゃ,佐賀県三養基郡みやき町市武江見,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1061/
-,八幡神社・天満神社（佐賀市東与賀町田中）,はちまんじんじゃ・てんまんじんじゃ,佐賀県佐賀市東与賀町田中,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1094/
-,八龍社（佐賀市）,はちりゅうしゃ,佐賀県佐賀市西与賀町厘外,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1095/
-,八幡神社（佐賀市蓮池町見島）,はちまんじんじゃ,佐賀県佐賀市蓮池町見島,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1096/
-,八幡神社（佐賀県藤津郡）,はちまんじんじゃ,佐賀県藤津郡太良町多良,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1033/
-,大魚神社,おおうおじんじゃ,佐賀県藤津郡太良町多良1897,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1034/
-,太良嶽神社,たらだけじんじゃ,佐賀県藤津郡太良町多良8378,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1035/
-,田手大神宮,たでだいじんぐう,佐賀県神埼郡吉野ヶ里町田手,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1036/
-,冠者神社,かんじゃじんじゃ,佐賀県神埼市千代田町崎村123,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1037/
-,兵動八幡神社・天満神社,ひょうどうじんじゃ・てんまんじんじゃ,佐賀県佐賀市大和町池上,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1101/
-,土器山八天神社,かわらけやまはちてんじんじゃ,佐賀県神埼市神崎町城原3672,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1038/
県社,仁比山神社,にいやまじんじゃ,佐賀県神埼市神崎町的1692,0952-53-0340,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1039/
-,白角折神社,おしとりじんじゃ,佐賀県神埼市神崎町城原,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1040/
-,高志神社,たかしじんじゃ,佐賀県神埼市千代田町下板1229,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1041/
-,高木八幡宮,たかぎはちまんぐう,佐賀県佐賀市高木瀬東2-12-8,0952-30-9044,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1115/
-,天満宮（佐賀市大和町）,てんまんぐう,佐賀県佐賀市大和町尼寺,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1117/
-,天満宮（佐賀市本庄町袋）,てんまんぐう,佐賀県佐賀市本庄町袋,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1118/
-,天満宮（佐賀市川副町小々森久町）,てんまんぐう,佐賀県佐賀市川副町小々森久町,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1119/
